State,County,Income
Georgia,Pike,"49,130"
Georgia,Polk,"39,300"
Georgia,Pulaski,"42,590"
Georgia,Putnam,"53,678"
Georgia,Quitman,"37,213"
Georgia,Rabun,"52,091"
Georgia,Randolph,"43,575"
Georgia,Richmond,"43,706"
Georgia,Rockdale,"41,988"
Georgia,Schley,"43,260"
Georgia,Screven,"40,782"
Georgia,Seminole,"47,608"
Georgia,Spalding,"42,951"
Georgia,Stephens,"43,679"
Georgia,Stewart,"33,130"
Georgia,Sumter,"43,580"
Georgia,Talbot,"46,201"
Georgia,Taliaferro,"40,684"
Georgia,Tattnall,"34,632"
Georgia,Taylor,"39,674"
Georgia,Telfair,"30,222"
Georgia,Terrell,"46,819"
Georgia,Thomas,"53,241"
Georgia,Tift,"45,381"
Georgia,Toombs,"42,723"
Georgia,Towns,"47,696"
Georgia,Treutlen,"37,701"
Georgia,Troup,"44,969"
Georgia,Turner,"38,251"
Georgia,Twiggs,"44,766"
Georgia,Union,"45,300"
Georgia,Upson,"41,489"
Georgia,Walker,"41,559"
Georgia,Walton,"50,561"
Georgia,Ware,"39,081"
Georgia,Warren,"41,327"
Georgia,Washington,"40,814"
Georgia,Wayne,"38,894"
Georgia,Webster,"40,385"
Georgia,Wheeler,"23,257"
Georgia,White,"47,944"
Georgia,Whitfield,"44,941"
Georgia,Wilcox,"32,436"
Georgia,Wilkes,"47,613"
Georgia,Wilkinson,"42,739"
Georgia,Worth,"41,792"
Hawaii,Hawaii,"50,585"
Hawaii,Honolulu,"64,193"
Hawaii,Kauai,"56,983"
Hawaii,Maui + Kalawao,"60,287"
Idaho,Ada,"64,113"
Idaho,Adams,"42,499"
Idaho,Bannock,"46,362"
Idaho,Bear Lake,"46,141"
Idaho,Benewah,"44,159"
Idaho,Bingham,"45,218"
Idaho,Blaine,"146,618"
Idaho,Boise,"51,106"
Idaho,Bonner,"51,235"
Idaho,Bonneville,"61,768"
Idaho,Boundary,"46,100"
Idaho,Butte,"49,912"
Idaho,Camas,"54,503"
Idaho,Canyon,"43,676"
Idaho,Caribou,"45,940"
Idaho,Cassia,"50,609"
Idaho,Clark,"41,290"
Idaho,Clearwater,"42,599"
Idaho,Custer,"48,762"
Idaho,Elmore,"42,575"
Idaho,Franklin,"44,036"
Idaho,Fremont (includes Yellowstone National Park),"44,513"
Idaho,Gem,"45,380"
Idaho,Gooding,"63,627"
Idaho,Idaho,"44,130"
Idaho,Jefferson,"43,633"
Idaho,Jerome,"43,198"
Idaho,Kootenai,"57,652"
Idaho,Latah,"51,378"
Idaho,Lemhi,"51,920"
Idaho,Lewis,"58,994"
Idaho,Lincoln,"45,382"
Idaho,Madison,"27,212"
Idaho,Minidoka,"45,297"
Idaho,Nez Perce,"51,923"
Idaho,Oneida,"45,526"
Idaho,Owyhee,"44,735"
Idaho,Payette,"46,224"
Idaho,Power,"42,234"
Idaho,Shoshone,"44,972"
Idaho,Teton,"57,376"
Idaho,Twin Falls,"47,217"
Idaho,Valley,"61,529"
Idaho,Washington,"41,301"
Illinois,Adams,"56,077"
Illinois,Alexander,"49,757"
Illinois,Bond,"45,397"
Illinois,Boone,"55,444"
Illinois,Brown,"44,437"
Illinois,Bureau,"52,339"
Illinois,Calhoun,"55,169"
Illinois,Carroll,"51,292"
Illinois,Cass,"49,296"
Illinois,Champaign,"54,619"
Illinois,Christian,"48,907"
Illinois,Clark,"51,184"
Illinois,Clay,"50,033"
Illinois,Clinton,"57,816"
Illinois,Coles,"52,751"
Illinois,Cook,"72,979"
Illinois,Crawford,"51,798"
Illinois,Cumberland,"87,319"
Illinois,DeKalb,"50,917"
Illinois,De Witt,"57,609"
Illinois,Douglas,"61,267"
Illinois,DuPage,"86,772"
Illinois,Edgar,"55,368"
Illinois,Edwards,"50,416"
Illinois,Effingham,"61,059"
Illinois,Fayette,"45,045"
Illinois,Ford,"62,397"
Illinois,Franklin,"45,905"
Illinois,Fulton,"47,340"
Illinois,Gallatin,"54,033"
Illinois,Greene,"51,940"
Illinois,Grundy,"59,926"
Illinois,Hamilton,"54,007"
Illinois,Hancock,"56,747"
Illinois,Hardin,"45,035"
Illinois,Henderson,"54,943"
Illinois,Henry,"55,952"
Illinois,Iroquois,"55,986"
Illinois,Jackson,"47,156"
Illinois,Jasper,"56,703"
Illinois,Jefferson,"47,955"
Illinois,Jersey,"52,386"
Illinois,Jo Daviess,"57,672"
Illinois,Johnson,"39,800"
Illinois,Kane,"63,094"
Illinois,Kankakee,"51,692"
Illinois,Kendall,"57,385"
Illinois,Knox,"47,519"
Illinois,Lake,"91,061"
Illinois,LaSalle,"52,830"
Illinois,Lawrence,"40,123"
Illinois,Lee,"51,795"
Illinois,Livingston,"56,919"
Illinois,Logan,"47,957"
Illinois,McDonough,"48,639"
Illinois,McHenry,"64,203"
Illinois,McLean,"59,244"
Illinois,Macon,"56,437"
Illinois,Macoupin,"51,201"
Illinois,Madison,"55,649"
Illinois,Marion,"50,225"
Illinois,Marshall,"55,065"
Illinois,Mason,"54,857"
Illinois,Massac,"45,574"
Illinois,Menard,"57,108"
Illinois,Mercer,"58,711"
Illinois,Monroe,"68,594"
Illinois,Montgomery,"43,988"
Illinois,Morgan,"50,162"
Illinois,Moultrie,"67,555"
Illinois,Ogle,"54,105"
Illinois,Peoria,"57,149"
Illinois,Perry,"43,763"
Illinois,Piatt,"65,807"
Illinois,Pike,"58,154"
Illinois,Pope,"37,572"
Illinois,Pulaski,"46,988"
Illinois,Putnam,"66,833"
Illinois,Randolph,"47,044"
Illinois,Richland,"51,006"
Illinois,Rock Island,"49,395"
Illinois,St. Clair,"54,909"
Illinois,Saline,"46,565"
Illinois,Sangamon,"57,872"
Illinois,Schuyler,"52,500"
Illinois,Scott,"55,167"
Illinois,Shelby,"52,290"
Illinois,Stark,"61,073"
Illinois,Stephenson,"52,049"
Illinois,Tazewell,"55,357"
Illinois,Union,"48,789"
Illinois,Vermilion,"48,950"
Illinois,Wabash,"52,007"
Illinois,Warren,"52,753"
Illinois,Washington,"60,802"
Illinois,Wayne,"48,355"
Illinois,White,"56,490"
Illinois,Whiteside,"52,211"
Illinois,Will,"62,708"
Illinois,Williamson,"52,165"
Illinois,Winnebago,"50,575"
Illinois,Woodford,"61,565"
Indiana,Adams,"47,419"
Indiana,Allen,"55,795"
Indiana,Bartholomew,"59,915"
Indiana,Benton,"53,845"
Indiana,Blackford,"43,819"
Indiana,Boone,"85,736"
Indiana,Brown,"57,432"
Indiana,Carroll,"50,582"
Indiana,Cass,"47,416"
Indiana,Clark,"52,120"
Indiana,Clay,"44,962"
Indiana,Clinton,"45,620"
Indiana,Crawford,"41,583"
Indiana,Daviess,"53,843"
Indiana,Dearborn,"56,644"
Indiana,Decatur,"52,172"
Indiana,DeKalb,"54,013"
Indiana,Delaware,"45,087"
Indiana,Dubois,"62,884"
Indiana,Elkhart,"56,465"
Indiana,Fayette,"47,360"
Indiana,Floyd,"59,555"
Indiana,Fountain,"49,947"
Indiana,Franklin,"55,807"
Indiana,Fulton,"49,709"
Indiana,Gibson,"53,942"
Indiana,Grant,"46,964"
Indiana,Greene,"50,263"
Indiana,Hamilton,"89,933"
Indiana,Hancock,"59,088"
Indiana,Harrison,"52,801"
Indiana,Hendricks,"57,743"
Indiana,Henry,"46,087"
